period,site_no,site_name,wg,xig,stru_damping,gamma_t,miu,zeta,kappa,gamma,alpha,ok
5.2,0,Group1+I0,31.42,0.64,0.02,0.6,0.519040027704239,0.015242502320446109,0.49954333900724857,0.6541932874657799,4.282764829588298,False
5.2,0,Group1+I0,31.42,0.64,0.02,0.7,0.44025857165552146,0.019522734277289126,0.4140115292968084,0.7432508420344798,-1.4794736401536537,True
5.2,0,Group1+I0,31.42,0.64,0.02,0.8,0.05371812751039165,0.0004359334772219282,0.032652751097869144,0.7811136628497567,-3.701720247586994,True
5.2,0,Group1+I0,31.42,0.64,0.02,0.9,0.33943719543306977,0.00194826725048225,0.06053896338550692,0.9304429445848971,-6.825246843544401,True
5.2,0,Group1+I0,31.42,0.64,0.04,0.6,0.5154984240066202,0.026311122273074423,0.4951424746981632,0.6588610625784966,4.756145556050757,False
5.2,0,Group1+I0,31.42,0.64,0.04,0.7,0.4183383674112647,0.012577012368694133,0.4075374291470264,0.7487207598398958,-1.4923304286470893,True
5.2,0,Group1+I0,31.42,0.64,0.04,0.8,0.1164487157629755,0.0004312470619566301,0.07558093332619865,0.7537690149397934,-2.9042573220018717,True
5.2,0,Group1+I0,31.42,0.64,0.04,0.9,0.3777983053691622,0.001881204573530027,0.06694828073603333,0.8958365297069394,-5.668012028437745,True
5.2,0,Group1+I0,31.42,0.64,0.06,0.6,0.5111428592769163,0.05331103583143705,0.4962053074867324,0.6627803094571894,5.211715667222916,False
5.2,0,Group1+I0,31.42,0.64,0.06,0.7,0.4847626331625977,0.0031182244884703234,0.43568148368122406,0.7380711544716084,-1.4310470969320361,True
5.2,0,Group1+I0,31.42,0.64,0.06,0.8,0.10536830166491978,0.0028569847771076078,0.06830177557918095,0.7600915724247033,-2.9135546042396703,True
5.2,0,Group1+I0,31.42,0.64,0.06,0.9,0.3037657898059703,0.0025969744115617037,0.05388637712428536,0.9263523273040081,-5.623507404131606,True
5.2,0,Group1+I0,31.42,0.64,0.08,0.6,0.5173512790998491,0.05887462286464308,0.4996853247237999,0.667281687302378,5.683983937088801,False
5.2,0,Group1+I0,31.42,0.64,0.08,0.7,0.4666262286403262,0.0016260594371864116,0.4291141544150435,0.7488379320289332,-1.462469596537787,True
5.2,0,Group1+I0,31.42,0.64,0.08,0.8,0.11798035397373272,0.0077515096627400765,0.08481158442514515,0.8455767098711472,-2.5890669072570516,True
5.2,0,Group1+I0,31.42,0.64,0.08,0.9,0.32863573852418265,0.0007317587842309293,0.05767034825191421,0.8932205625491555,-6.737342364014273,True
5.2,0,Group1+I0,31.42,0.64,0.1,0.6,0.49533022379625674,0.07200747835647282,0.49962347745334323,0.6756925252335116,6.571637509171024,False
5.2,0,Group1+I0,31.42,0.64,0.1,0.7,0.4683829637929163,8.288025979519277e-05,0.4376768087994577,0.7499995075082954,-1.4364284704074701,True
5.2,0,Group1+I0,31.42,0.64,0.1,0.8,0.10497847983605593,0.004068739772867259,0.0693508545957633,0.7749976593754051,-2.8795724967628433,True
5.2,0,Group1+I0,31.42,0.64,0.1,0.9,0.5332911257940945,0.00255849961278587,0.09743144508349069,0.9322560662381473,-5.350555914596024,True
5.2,0,Group1+I0,31.42,0.64,0.12000000000000001,0.6,0.4892603475200398,0.08529786147621067,0.4999712184067252,0.6850348536583668,7.540420097321417,False
5.2,0,Group1+I0,31.42,0.64,0.12000000000000001,0.7,0.4770467299112928,0.007881164668219755,0.44031695187564124,0.7499939083090835,-1.3953812001337444,True
5.2,0,Group1+I0,31.42,0.64,0.12000000000000001,0.8,0.13844238273219162,0.009123720364626055,0.10161966981917128,0.8495364908562042,-2.3706834896208515,True
5.2,0,Group1+I0,31.42,0.64,0.12000000000000001,0.9,0.6403590315593743,0.0016188994291260754,0.11810369965588599,0.9285686314909044,-4.875424697245543,True
5.2,0,Group1+I0,31.42,0.64,0.13999999999999999,0.6,0.49807669407902916,0.0808406484252311,0.4994792267602567,0.6966611225405569,8.686698830575828,False
5.2,0,Group1+I0,31.42,0.64,0.13999999999999999,0.7,0.48953488651489796,0.008634910116119833,0.45610075378568105,0.749977310329374,-1.345933400859183,True
5.2,0,Group1+I0,31.42,0.64,0.13999999999999999,0.8,0.09700039810314923,0.006982125445934019,0.06850315732513602,0.839406528677664,-2.5863849245000163,True
5.2,0,Group1+I0,31.42,0.64,0.13999999999999999,0.9,0.49520980006162,0.00040754676472465345,0.08969833090451852,0.9438795489957874,-6.749247244609059,True
5.2,0,Group1+I0,31.42,0.64,0.16,0.6,0.4774398150944703,0.12421732580985614,0.49946526437201,0.7074637461560551,9.86055126770095,False
5.2,0,Group1+I0,31.42,0.64,0.16,0.7,0.522241557099825,0.008578091987641036,0.48176341476683937,0.7499894592495338,-1.2854571517526499,True
5.2,0,Group1+I0,31.42,0.64,0.16,0.8,0.13387034883301835,0.0020855591011875734,0.08431118852363807,0.7820863871508326,-2.6902910478436812,True
5.2,0,Group1+I0,31.42,0.64,0.16,0.9,0.31866764395932723,0.0008402019864350854,0.055971422135404084,0.909830827022495,-7.759561751952522,True
5.2,0,Group1+I0,31.42,0.64,0.18,0.6,0.47202236381181467,0.12314484451927013,0.4997713789309767,0.7192526155788874,11.042387460724726,False
5.2,0,Group1+I0,31.42,0.64,0.18,0.7,0.5239319671836942,0.024932861699653593,0.48348066186131033,0.7499844722182972,-1.2151216765854977,True
5.2,0,Group1+I0,31.42,0.64,0.18,0.8,0.10933359008034166,0.004137009443894169,0.07773359235724199,0.8060625504883616,-3.174004108009958,True
5.2,0,Group1+I0,31.42,0.64,0.18,0.9,0.5167422090349428,0.0013214722472648657,0.09147768603977093,0.8792789699715348,-4.752467593245292,True
5.2,1,Group2+I0,25.13,0.64,0.02,0.6,0.5039480719862434,0.021818884042186796,0.49448224148872855,0.6598024610759491,4.839470683509769,False
5.2,1,Group2+I0,25.13,0.64,0.02,0.7,0.4439533667413643,0.016531460233501497,0.4134946005567104,0.7477410765204239,-1.4993408597183375,True
5.2,1,Group2+I0,25.13,0.64,0.02,0.8,0.09469299798716976,0.00664203623893911,0.06441114938871785,0.8408014097377868,-2.8025640512029226,True
5.2,1,Group2+I0,25.13,0.64,0.02,0.9,0.26062031187348184,5.9321523596667105e-05,0.04506087370307555,0.884594149089108,-6.763673772046475,True
5.2,1,Group2+I0,25.13,0.64,0.04,0.6,0.5190064330362023,0.008874915672464902,0.4991916790484142,0.6594848169405246,4.800821984325414,False
5.2,1,Group2+I0,25.13,0.64,0.04,0.7,0.4109587237647128,0.026393779015448378,0.4048198968890294,0.7445996921844746,-1.437440691578926,True
5.2,1,Group2+I0,25.13,0.64,0.04,0.8,0.1449296703373256,0.00534880169255736,0.09644808018875242,0.8110957025651633,-2.45276500951617,True
5.2,1,Group2+I0,25.13,0.64,0.04,0.9,0.48356270225183184,0.0003488585404881617,0.08623725304361064,0.8783975664882304,-4.907691626451668,True
5.2,1,Group2+I0,25.13,0.64,0.06,0.6,0.5192189906508438,0.05074032471687086,0.4996308684294055,0.6611539714657279,5.047152660518795,False
5.2,1,Group2+I0,25.13,0.64,0.06,0.7,0.42363377818328807,0.0047061295018513425,0.4206962052091391,0.7479764512082144,-1.4518859060406353,True
5.2,1,Group2+I0,25.13,0.64,0.06,0.8,0.06995661582781604,0.004563190110969396,0.047577262633700115,0.8348744883544149,-3.148045553650576,True
5.2,1,Group2+I0,25.13,0.64,0.06,0.9,0.27552838726166035,0.00031827390668204286,0.04728377680903341,0.8833511006191961,-5.654057870049959,True
5.2,1,Group2+I0,25.13,0.64,0.08,0.6,0.5354511385241566,0.04457688398028737,0.4990018904060407,0.6698514473959175,5.89596768151421,False
5.2,1,Group2+I0,25.13,0.64,0.08,0.7,0.4510980861302394,0.002655692438121027,0.43796950486256936,0.7346971476653477,-1.3988954215406924,True
5.2,1,Group2+I0,25.13,0.64,0.08,0.8,0.08022682398642161,0.003514677338520845,0.05721379901787339,0.8196425897466861,-3.7373886490558377,True
5.2,1,Group2+I0,25.13,0.64,0.08,0.9,0.6409784728325102,0.001314103622944707,0.11785855319885244,0.913596801147809,-4.5500075252653245,True
5.2,1,Group2+I0,25.13,0.64,0.1,0.6,0.5088268462897347,0.07268673289845486,0.4990814104539366,0.6757681852592311,6.569402699322715,False
5.2,1,Group2+I0,25.13,0.64,0.1,0.7,0.4704529735090322,0.00011185556816839529,0.4379961555897617,0.7499985243190748,-1.4362461267530353,True
5.2,1,Group2+I0,25.13,0.64,0.1,0.8,0.15723817109032784,0.0027308836986256195,0.11256993729725387,0.8218776545131206,-2.793475678620933,True
5.2,1,Group2+I0,25.13,0.64,0.1,0.9,0.508359739588051,0.0027741566713773706,0.09279239315975298,0.9384327523206292,-5.495169383585447,True
5.2,1,Group2+I0,25.13,0.64,0.12000000000000001,0.6,0.505566233789795,0.08823661637658799,0.4984471127159463,0.6858676936084483,7.6144498439757635,False
5.2,1,Group2+I0,25.13,0.64,0.12000000000000001,0.7,0.4841299447571112,0.0031753108378546066,0.4475317366053423,0.7499991942122717,-1.3950071812443938,True
5.2,1,Group2+I0,25.13,0.64,0.12000000000000001,0.8,0.18371833184256528,0.013801194933074638,0.12503206916201218,0.8414839818249575,-1.9359954762107168,True
5.2,1,Group2+I0,25.13,0.64,0.12000000000000001,0.9,0.3568657724442548,0.0031535923950909437,0.06402964985414818,0.9404689431946737,-5.529879015250901,True
5.2,1,Group2+I0,25.13,0.64,0.13999999999999999,0.6,0.49353512560403023,0.08931585534387611,0.49978534876980407,0.6961309463767293,8.654713874273375,False
5.2,1,Group2+I0,25.13,0.64,0.13999999999999999,0.7,0.48151076019373074,0.014273978982478067,0.4465317792673674,0.7499997988724295,-1.3447014717410066,True
5.2,1,Group2+I0,25.13,0.64,0.13999999999999999,0.8,0.10216341205747206,0.003982409894204287,0.07357948383062309,0.8122409034655131,-3.310062989601943,True
5.2,1,Group2+I0,25.13,0.64,0.13999999999999999,0.9,0.2556729102718566,0.0020802393865621,0.04382491177059578,0.9126035419102657,-5.057817601160752,True
5.2,1,Group2+I0,25.13,0.64,0.16,0.6,0.49392894839468954,0.09462133190961677,0.4991537034385458,0.7082711819321009,9.877764972001767,False
5.2,1,Group2+I0,25.13,0.64,0.16,0.7,0.5092128385201575,0.013781942632525305,0.4714342500483133,0.7499994257120989,-1.2868977182755297,True
5.2,1,Group2+I0,25.13,0.64,0.16,0.8,0.17096572433026777,0.002653092185453954,0.11782360997533217,0.7920981668853706,-2.6127992948916963,True
5.2,1,Group2+I0,25.13,0.64,0.16,0.9,0.40845970961622785,0.0030380040859878674,0.07036815688562627,0.8850886394338919,-4.0179158342244055,True
5.2,1,Group2+I0,25.13,0.64,0.18,0.6,0.48008243173391535,0.11280565876969187,0.49773061272100527,0.7202194184018017,11.113746994911864,False
5.2,1,Group2+I0,25.13,0.64,0.18,0.7,0.5235091318320824,0.025479339442839317,0.4832338688259403,0.7497932217517461,-1.213694749832369,True
5.2,1,Group2+I0,25.13,0.64,0.18,0.8,0.10680908749553966,0.0037191808777925503,0.061711707140679764,0.8383499286993235,-2.4448518246557587,True
5.2,1,Group2+I0,25.13,0.64,0.18,0.9,0.3341497940352179,0.0030092001409709477,0.058075048894808426,0.9080546883792444,-4.834015061207731,True
5.2,2,Group3+I0,20.94,0.64,0.02,0.6,0.5119124893542845,0.010357208704310785,0.4951689987654835,0.6578139512323327,4.627317526498098,False
5.2,2,Group3+I0,20.94,0.64,0.02,0.7,0.42172993131626374,0.005053162650066057,0.41336122771145745,0.7444308730036407,-1.489488351255959,True
