period,site_no,site_name,wg,xig,stru_damping,gamma_t,miu,zeta,kappa,gamma,alpha,ok
4.2,0,Group1+I0,31.42,0.64,0.2,0.6,0.38866037275143106,0.1901734052624316,0.49982742964964255,0.7037140116505849,102.98523629479894,False
4.2,0,Group1+I0,31.42,0.64,0.2,0.7,0.39434877929966444,0.21422140619488667,0.4992411732560571,0.7039136254209404,3.194792876231045,False
4.2,0,Group1+I0,31.42,0.64,0.2,0.8,0.5450516065398291,0.0005243271667410011,0.28389581715905393,0.7994125222713291,-1.7636823390627407,True
4.2,0,Group1+I0,31.42,0.64,0.2,0.9,1.383035255160314,0.001212298888151331,0.1660793746423628,0.8983346857784275,-2.928712147043114,True
4.2,1,Group2+I0,25.13,0.64,0.2,0.6,0.4015477091131647,0.20967002525433936,0.49980314075653465,0.7038269547036985,103.10035046286586,False
4.2,1,Group2+I0,25.13,0.64,0.2,0.7,0.3729292242710636,0.19339543869190573,0.49989625811422256,0.7039270573209897,3.2113948478067957,False
4.2,1,Group2+I0,25.13,0.64,0.2,0.8,0.49432668274017677,1.7166137951107888e-05,0.2486394382810509,0.7999807460786514,-1.8824019498639586,True
4.2,1,Group2+I0,25.13,0.64,0.2,0.9,0.2942035805218055,0.0006505996085792721,0.14662146786781352,0.8971567773413783,-3.3053712044518506,True
4.2,2,Group3+I0,20.94,0.64,0.2,0.6,0.3877863078854468,0.20649636099482122,0.49957145749884035,0.7040322655962855,103.31214951828115,False
4.2,2,Group3+I0,20.94,0.64,0.2,0.7,0.3684781729000739,0.18893706335033572,0.499575726681586,0.7043412798823617,3.6250129332491072,False
4.2,2,Group3+I0,20.94,0.64,0.2,0.8,0.4623321610030985,0.0008042305827771214,0.2243522290043865,0.7999935759631094,-1.9063506238831498,True
4.2,2,Group3+I0,20.94,0.64,0.2,0.9,0.06234513991454668,0.0014841929299264094,0.05858975736185547,0.8043251512606916,-3.5837114656419966,True
4.2,3,Group1+I1,25.13,0.64,0.2,0.6,0.4217366591905678,0.19623937750219372,0.499401971688896,0.7042592798781686,103.51002634584171,False
4.2,3,Group1+I1,25.13,0.64,0.2,0.7,0.4043256953519795,0.1893113358216187,0.4997519254647482,0.7039915363252026,3.2497144128696025,False
4.2,3,Group1+I1,25.13,0.64,0.2,0.8,0.5704447871835708,3.856420574432918e-05,0.3006428375935977,0.7998520538770284,-1.7103853181669315,True
4.2,3,Group1+I1,25.13,0.64,0.2,0.9,0.1825962893016498,0.0036004856765342605,0.08589045831397858,0.899254939372956,-3.4141112033939844,True
4.2,4,Group2+I1,20.94,0.64,0.2,0.6,0.4047789812266044,0.20464512265689855,0.49964242428008354,0.7040321462207001,103.29924052223977,False
4.2,4,Group2+I1,20.94,0.64,0.2,0.7,0.37620383641199706,0.19966177194806595,0.4994542896666272,0.7041227141310393,3.406961208674641,False
4.2,4,Group2+I1,20.94,0.64,0.2,0.8,0.4773604813119787,0.0003743320759286296,0.23631539547913366,0.7999928033153932,-1.9041002939678082,True
4.2,4,Group2+I1,20.94,0.64,0.2,0.9,0.27593845231808145,0.0003892704902480616,0.13407937637089754,0.8791772714402128,-3.337368395987354,True
4.2,5,Group3+I1,17.95,0.64,0.2,0.6,0.42270004161708075,0.20146915616794164,0.49965883790938315,0.7045652304588667,103.81699759012318,False
4.2,5,Group3+I1,17.95,0.64,0.2,0.7,0.3943470880178626,0.20829507273875286,0.49949906020610124,0.7042797959182376,3.5549196380674952,False
4.2,5,Group3+I1,17.95,0.64,0.2,0.8,0.5938178397484788,2.3208558905252204e-05,0.3157719718779917,0.7999863247578246,-1.65667385761381,True
4.2,5,Group3+I1,17.95,0.64,0.2,0.9,0.14728026891976695,0.002016983956351637,0.0667848224458817,0.8929436088887232,-3.936793076056988,True
4.2,6,Group1+II,17.95,0.72,0.2,0.6,0.36547968672767167,0.19490193866047173,0.4994491189636159,0.7044968699803326,103.78529603681017,False
4.2,6,Group1+II,17.95,0.72,0.2,0.7,0.3953846335239136,0.19193918543963412,0.49997594952547475,0.7041226669354325,3.3872094813831204,False
4.2,6,Group1+II,17.95,0.72,0.2,0.8,0.4996612463133829,3.1068921552135373e-06,0.2519739680286343,0.7999820899632732,-1.8672234778069097,True
4.2,6,Group1+II,17.95,0.72,0.2,0.9,0.17794685877094737,0.0012076199234667408,0.08301451925954996,0.8926144633057127,-4.285639475917641,True
4.2,7,Group2+II,15.71,0.72,0.2,0.6,0.3990365505182615,0.21247870046613665,0.4999048486337788,0.7044477464705807,103.72109315227404,False
