id,周期,场地编号,场地名称,wg,xig,结构阻尼比,减震比,miu,zeta,kappa,gamma,alpha,ok
0,0.1,0,设计地震第1组+I0,31.42,0.64,0.02,0.5,0.970410242456274,0.997558101993487,0.30552734662240255,0.8980822552113761,39.27689956376293,False
1,0.1,0,设计地震第1组+I0,31.42,0.64,0.02,0.6,0.9213478112321184,0.9992207363189811,0.31623938915311833,0.8978662146448191,29.265601012380156,False
2,0.1,0,设计地震第1组+I0,31.42,0.64,0.02,0.7,0.9738306401210326,0.9999640956518359,0.30885882905765494,0.8978250215637354,19.25368555719803,False
3,0.1,0,设计地震第1组+I0,31.42,0.64,0.02,0.8,0.1507693465856414,9.388476680133317e-05,0.005940713032638378,0.9905208761947557,3.305365747719593,False
4,0.1,0,设计地震第1组+I0,31.42,0.64,0.02,0.9,0.8766810065260604,0.9966942667714824,0.1331710080293641,0.9199310918756105,-0.7349501721595885,True
5,0.1,0,设计地震第1组+I0,31.42,0.64,0.05,0.5,0.9104880385882261,0.999384857709593,0.3278763467660274,0.8971078107408091,39.200637011043554,False
6,0.1,0,设计地震第1组+I0,31.42,0.64,0.05,0.6,0.9772366432639706,0.9996841922378852,0.32224545867923987,0.897040105506727,29.1875864114093,False
7,0.1,0,设计地震第1组+I0,31.42,0.64,0.05,0.7,0.6521367181251698,0.00040287524761911664,0.022331714796511193,1.1434209563237756,18.787621624072894,False
8,0.1,0,设计地震第1组+I0,31.42,0.64,0.05,0.8,0.9847532807644701,0.9983578994747839,0.3176467591348794,0.8971842684937119,9.198076035066578,False
9,0.1,0,设计地震第1组+I0,31.42,0.64,0.05,0.9,0.9885081126429744,0.9842157884256227,0.1338052610591446,0.9197026879244972,-0.7343109037231352,True
10,0.1,1,设计地震第2组+I0,25.13,0.64,0.02,0.5,0.8099112496518437,0.000107139349782015,0.018555738170115188,0.976537595468001,36.192250537714266,False
11,0.1,1,设计地震第2组+I0,25.13,0.64,0.02,0.6,0.9984039589643773,0.9989573284905949,0.3068984695292895,0.8952561835101184,28.98835882317216,False
12,0.1,1,设计地震第2组+I0,25.13,0.64,0.02,0.7,0.7958870440415072,0.00018623471398826474,0.01642458898145399,0.9804635783723312,11.652089374847453,False
13,0.1,1,设计地震第2组+I0,25.13,0.64,0.02,0.8,0.36917659915370193,0.00033439696084258674,0.014914833120367177,1.0632168457200522,7.868815746995448,False
14,0.1,1,设计地震第2组+I0,25.13,0.64,0.02,0.9,0.9163825580208194,0.9996583312724406,0.13143862136780188,0.9189419571649009,-0.7445488406461742,True
15,0.1,1,设计地震第2组+I0,25.13,0.64,0.05,0.5,0.9593191143819624,0.9980186149330333,0.3354549954492971,0.894421745260733,38.931436783860796,False
16,0.1,1,设计地震第2组+I0,25.13,0.64,0.05,0.6,0.5325347820858268,6.25997786417587e-05,0.014815747848270444,0.9808635709443546,27.593055179204875,False
17,0.1,1,设计地震第2组+I0,25.13,0.64,0.05,0.7,0.9737956968977727,0.9982577413190733,0.32095479459281856,0.8944682689293149,18.923353600358098,False
18,0.1,1,设计地震第2组+I0,25.13,0.64,0.05,0.8,0.8949616171044231,0.9996783062791698,0.3259856352656009,0.8943884113217352,8.921153655386506,False
19,0.1,1,设计地震第2组+I0,25.13,0.64,0.05,0.9,0.7659035829149453,0.0002090781942686304,0.012643382047439977,1.0880696803120578,-7.1986368096444195,False
20,0.1,2,设计地震第3组+I0,20.94,0.64,0.02,0.5,0.9779620988515175,0.9994551911909519,0.31533203508952284,0.8928777671376019,38.75321738615202,False
21,0.1,2,设计地震第3组+I0,20.94,0.64,0.02,0.6,0.9989967793151496,0.9999243170017326,0.3138806768795898,0.8928291355029333,28.746515738525673,False
22,0.1,2,设计地震第3组+I0,20.94,0.64,0.02,0.7,0.21780339045676134,1.9922852664611135e-05,0.0004964768923556573,0.9991520109713672,-13.945434508576533,False
23,0.1,2,设计地震第3组+I0,20.94,0.64,0.02,0.8,0.6541444409947428,0.0003908798127686963,0.021986797615787368,0.9874744772663502,8.507766581823251,False
24,0.1,2,设计地震第3组+I0,20.94,0.64,0.02,0.9,0.44470043811723914,2.7269125187912024e-05,0.011153452181469292,0.9827344784242162,-1.294831640033543,False
25,0.1,2,设计地震第3组+I0,20.94,0.64,0.05,0.5,0.26154163674668696,8.925795621617105e-06,0.00873423374246235,0.9818706942023322,31.712831732485668,False
26,0.1,2,设计地震第3组+I0,20.94,0.64,0.05,0.6,0.9954160079018474,0.9974030330583679,0.310666868915162,0.8924184559533849,28.7037255541692,False
27,0.1,2,设计地震第3组+I0,20.94,0.64,0.05,0.7,0.8781748479468736,0.9983276799196577,0.3431748773394143,0.892178365801584,18.710093164839684,False
28,0.1,2,设计地震第3组+I0,20.94,0.64,0.05,0.8,0.9982500374186787,0.9994711428841289,0.3257954815461895,0.8920137374721301,8.676183823773867,False
29,0.1,2,设计地震第3组+I0,20.94,0.64,0.05,0.9,0.9139168330573799,0.9876930191195981,0.12744297927203013,0.9192009704547359,-0.7541719615529705,True
30,0.1,3,设计地震第1组+I1,25.13,0.64,0.02,0.5,0.9922564401645693,0.9994090869978747,0.3120344304444971,0.895141789619859,38.981595765661744,False
31,0.1,3,设计地震第1组+I1,25.13,0.64,0.02,0.6,0.772372743281519,0.0008891224927389807,0.021929167374440783,1.0114744141123322,28.443771705736864,False
32,0.1,3,设计地震第1组+I1,25.13,0.64,0.02,0.7,0.9991642460164744,0.999013364307682,0.3307772228924723,0.8950158613526813,18.985223333074007,False
33,0.1,3,设计地震第1组+I1,25.13,0.64,0.02,0.8,0.9167189666384381,0.9999630302188026,0.3254867890885978,0.8950443857331888,8.985167910606057,False
34,0.1,3,设计地震第1组+I1,25.13,0.64,0.02,0.9,0.7846539824057667,0.9855648278114559,0.13082840391120615,0.9197671237452079,-0.7414214552322064,True
