m1,m2,m3,m4,m5,m6,m7,m8,m9,k1,k2,k3,k4,k5,k6,k7,k8,k9,c1,c2,c3,c4,c5,c6,c7,c8,c9,wave_name,T_1,a_max,a_avg,drift_max,drift_avg
373257.48212145397,443795.16655878903,419114.970411655,87282.20061916571,339948.5405652681,212076.6643663507,151161.69283208254,439521.0210101441,299052.2731089047,15346757.416629577,184388103.251532,175450806.88018388,71487912.62897852,123393758.23686463,27170033.139114466,3237931.5330066546,60806940.02050806,21162438.97066984,3905261.190762761,11972164.7934457,16178247.877031583,18367194.019938797,10622129.915696967,7467731.678493658,12206396.59741537,4178323.6576613877,9645797.547142334,RSN48_LYTLECR_PUD055,2.5207483777084922,0.26259525892985347,0.20884943586502053,0.00019671154826706827,0.00013825372972847038
416674.6927013972,229103.20634160383,417114.4764733098,133913.7114344059,282138.6483699071,157248.7041960108,235202.53384236706,255779.19704464183,147709.6179718473,9472948.14964437,22335885.58619075,101044184.35934864,124868990.04669407,109601789.62833147,82731216.39141786,10891961.624784188,64534008.20043041,24166208.547052033,4717629.939784527,9872137.051911063,18140163.086758915,3178348.872064377,3870393.90864628,6085356.832284352,7239375.809328334,9369804.171631878,2803951.8479741225,RSN159_IMPVALL.H_H-AGR003,2.8200690474748566,4.771856678050513,3.6002382052694433,0.008629871678397431,0.007357089413031777
71031.21520230018,135432.43730823466,349909.54996910325,198371.12241542534,90480.11004426655,402322.52063047956,354091.49372972234,110422.84138921036,525332.8292376555,6719504.535805158,178399022.4756416,175897584.92807597,175508194.57114884,124167047.73032072,8151793.069154681,19247854.179509744,82144095.56280828,4478459.387741279,1845865.0611200847,544368.6881801215,499239.99263860594,9782853.614790807,15534296.805631459,471207.1459480028,1285775.8952980558,335216.1776740064,4029707.7359129465,RSN1106_KOBE_KJM090,3.5590832961334526,9.969577654648008,7.6297430516970435,0.01920779014087934,0.011589599581236489
189893.52235390825,231305.18373234724,10798.023514361843,428129.39566073957,388559.1703733772,183279.04363722508,120040.15551433379,271666.2993318563,299047.1063094021,13343940.568954458,189402075.50185114,185217443.94420227,136074158.57427013,123407141.68144652,23342516.33524973,34927371.2803076,7087716.153734081,17106501.54420032,291910.3524149823,13944559.129553515,14359866.039591532,9784395.087392056,1807076.101549276,11169534.315458342,7609167.649560005,216726.149587698,5563471.405018388,RSN1063_NORTHR_RRS228,2.429377452008172,12.123860670332496,10.867183216676171,0.026048074348331774,0.0203891256586651
386918.25478370243,205230.3400005681,148523.794391306,66304.69905901577,69053.4385569704,187028.15347187835,250754.19120986937,484023.6728723512,232914.69534995072,1129851.50087179,53884098.35100748,197839627.35438627,104081435.2655548,15321525.42275502,84312824.99282849,62989195.068661466,74921854.74898826,45140709.102500014,1255918.9884947122,4992476.810613305,9713301.852235967,14240398.960224567,14402191.656719418,7419845.911569396,6755862.497750899,10202640.036579972,5650972.141779714,RSN6911_DARFIELD_HORCN18E,4.854041167418122,6.470335798785667,5.41472190624842,0.024928124577127033,0.016037342996624036
375082.23692035134,436943.41111700545,10836.649152672913,208223.30732257062,398182.155663182,217452.35702657676,50297.40883896036,378912.35656599916,327227.86546143476,8923958.088413255,89527606.27235915,5392507.880496306,91781544.08536594,151892311.0920394,2581135.92744336,117044550.41409299,74671085.19467998,26015622.944067482,4443866.861706912,7732576.989318484,11408549.98662127,9373452.161003223,14733728.72846772,667650.4345591143,4952260.988290139,6357914.206190537,5264687.7978542,RSN38_BORREGO_A-TLI339,2.700934924970524,0.29791536989488954,0.19224095156198828,0.0007484709045745385,0.0006840386518485644
165372.9121756784,31240.671539280145,400573.2520603517,164280.25385903733,376548.6336787079,6682.49665835422,107555.04832944584,278471.71727472823,490108.3480736525,3736977.006382928,182909953.66842926,99555501.37281379,74817709.09585781,84256779.02031411,61914018.53966421,3686457.801712605,53494463.599613726,41723899.48068102,1103595.2280413401,7280531.035574395,19121353.188420597,9455860.760875894,12718373.10986399,17168882.306006696,14586986.69659956,10343688.106460476,2687671.0310454015,RSN1063_NORTHR_RRS228,2.6918661822032894,12.043895905390551,10.833415026602363,0.02329097836425524,0.018843040170105088
40236.96147473985,276400.0207995034,477630.9227618814,279363.479168136,287046.0407200198,192316.2082455337,337446.90213737043,314521.177539291,28483.00915721864,16731346.720521025,11645673.122897753,138063800.01841888,143590801.10356724,121601579.21377636,9694068.835772915,17785462.059912104,70185254.11400315,30537533.4331319,490843.83377219696,19441598.38796049,9579457.923845503,8674321.065366762,10430133.245501924,5504455.715136407,11557352.40677605,9561563.016781043,11132457.435481476,RSN31_PARKF_C08050,2.560401983569075,3.124266800618971,2.5183422920014333,0.0017429197029809951,0.0015584882041703094
67383.46699129426,68205.55876229423,424508.5496231935,170443.8871350494,29278.41513576873,379681.11124153313,103821.60037411962,494053.66797973955,166073.10251682863,3147239.267740973,123316618.90873206,27864702.250054758,118460192.46896125,15182990.084503245,49569390.25835794,14324691.112758188,36339996.99623217,57225037.84241285,1457934.4290867592,7536259.08348858,14795432.418718481,2411114.3414756837,16988099.525440473,17035508.64860732,9640180.818199752,12770602.833311459,6828786.271003051,RSN66_SFERN_H05225,2.708320323213787,0.641077861492036,0.5158575027599657,0.0004847009162465648,0.0003632378602763916
364142.0128480971,305655.2201471119,293427.6684277071,261316.5586499717,148164.88387373264,306678.17532320187,359924.8655589089,109600.7174619782,394167.5931428095,12569959.611303499,97598848.61257742,162174915.91518247,80341383.89104591,161395096.38012472,93105434.3046018,32290525.73967466,73103556.16080956,53457110.022494845,5283877.878297591,9197072.521135751,508734.8519625485,9463087.61723976,5470126.193058414,15249130.405851329,8630011.460249532,2090342.8846216493,9718436.754291994,RSN86_SFERN_SON033,2.540684535954419,0.24977273767865338,0.1739518496806822,0.0005814191181346844,0.0005117409022127336
