m1,m2,m3,m4,m5,m6,m7,m8,m9,k1,k2,k3,k4,k5,k6,k7,k8,k9,c1,c2,c3,c4,c5,c6,c7,c8,c9,wave_name,T_1,a_max,a_avg,drift_max,drift_avg
3458.8625118133573,82327.47289860004,154614.47598430666,125188.309068954,469789.3309618428,806.1340414367678,398210.04203333857,128081.56926410712,10505.836890885099,16878257.45733402,47220768.39405682,116403180.98789643,109101215.61088671,9261104.373477405,103457480.62613872,80964405.8874675,25848326.65525305,10395151.451175978,1938947.9092197707,18826416.18200464,7585117.566542937,3397479.670222541,10123134.022075612,16673201.842461694,14863571.772439655,6054421.739806747,6106537.707798192,RSN1045_NORTHR_WPI316,2.9444047684549814,5.144396847040527,3.558133632429338,0.02010790879604005,0.013363500933895952
222775.99406201963,299834.7225258652,157385.94838844068,71576.41076011384,165254.32824961288,188473.316038009,118025.93713907393,99824.54508930509,430757.6091007458,10429823.54395908,76812713.80703151,188837163.80046326,117592609.41483462,63160229.818343595,44582905.56316304,107061159.41597632,53681004.82892602,6181380.031885621,1298006.568606053,2502597.880175585,15450609.659450982,12289228.27557041,9968215.260523438,10189238.030750426,6160754.053804931,11437940.997958291,4175102.053244106,RSN6911_DARFIELD_HORCS72E,3.0244496031602552,8.20096658298519,5.642455132441601,0.01133342471034472,0.009582430959154209
388171.01667681907,208771.32171442636,64043.76403094567,244625.66229242578,424636.24069857167,261174.72897230746,210651.55852011582,85975.60581796714,318063.08541175997,12906382.512328897,185488074.02152953,136056030.14838538,154870107.65879104,25744886.71243372,146501418.81693968,59856480.29828296,63855546.46801823,37540083.88411573,4458394.870607461,5318988.543152306,14525063.898537861,10926542.447236706,7151361.796130106,8740102.041278472,13039057.35722283,7425064.289802496,3799687.834253053,RSN55_SFERN_BVP090,2.6140068415364244,0.14828519741670831,0.1275182903622388,0.00036823495228244306,0.00029913900792682426
395153.2100072678,309987.73309599253,441500.9938915189,165600.1840957456,188054.42631653245,195166.424225079,85306.50654468042,64515.24055801916,274724.1843036939,9822186.043104447,102266987.99427623,87438310.58171085,162290813.22547424,138667830.68623427,35710910.69229034,68081559.45158805,4054710.488135551,57322147.35274774,1190364.1045645392,2927912.582495252,5877008.513939278,4315511.228613326,15955949.060876856,17086843.09197761,1044535.0888056136,1907708.7340367336,9759629.028867278,RSN85_SFERN_SJC033,2.7323373560668567,0.7804529585143118,0.5363063818659476,0.0008281128060475062,0.0006606410591855727
283935.73588026967,467541.4114022776,43212.58199314906,97697.87418772116,354977.1221601494,434867.28366016824,331472.9084697291,199262.04825116583,103551.92033716053,13893655.014418209,10356962.562438428,25580207.063450325,113027621.67063586,142358536.8771126,63134866.7088206,109331563.01675548,7689836.971927606,27133654.000351977,3154496.6769788754,4916722.024483504,737995.3174778376,9537490.848871587,15409076.041368093,4416300.821466033,2866657.761584186,889114.2167968444,2689406.581229534,RSN1176_KOCAELI_YPT150,2.8907807753796173,4.729057099606504,3.6723813262657754,0.011865232917821919,0.009099789435804098
131678.96631218985,454814.4812076328,58732.50483926567,476318.1934211512,233710.3139945265,29209.491467456308,191136.53906487508,197964.12626397028,451020.45400011644,12683405.490219932,55473111.936913684,23224509.179911137,47530950.89546248,92270545.11580993,106684962.15494315,101674589.89771974,42917713.59611019,27967133.392898716,4684006.0592866065,12783036.18780139,7570918.590966132,2890396.2911466504,8600484.48844842,15651480.861632258,11323817.792189239,3991131.488595075,6476079.603558668,RSN3746_CAPEMEND_CBF360,2.6309207629014995,5.729376111906515,4.848370309684331,0.01440297745622998,0.01072417104719085
240508.91281949845,45309.01417003371,183617.15062729066,311672.9265259611,490263.63178174937,110554.09667472931,169492.74049459476,313700.9258595243,528623.0199795293,13706365.770883786,73195000.65132377,130148060.67867184,72740378.9934029,32661773.077357348,102848645.02179252,82455981.81675868,48965929.8238481,14239530.529624319,3288958.518364796,8133521.934183955,2652079.408273473,8805981.985061578,14603883.37937705,1328585.3883570302,8544266.33275487,11210623.196506996,4100070.3510871385,RSN179_IMPVALL.H_H-E04140,2.9928517973768263,6.138291241865327,5.360979902222526,0.011809152100541356,0.009592938201646988
200389.32651481658,284033.976504928,190328.10390956674,14147.051960759805,218957.62705251004,355197.1234738882,352289.39842973097,407079.4674179819,75832.56849629822,10701006.296371145,205461220.12588578,19337881.70477653,178592364.2799752,130021199.03664573,1742450.0929236468,88810611.51651019,20772410.37102392,40676410.52210129,4364336.448497414,1991819.983529463,14279885.296572395,733709.4471628839,12856407.231149405,11740422.776549904,3841670.471058199,1580950.5757073555,181976.31855180938,RSN1044_NORTHR_NWH360,3.783603613746719,9.911084825883808,8.308743412780402,0.0176701683947935,0.014595904185944666
410923.1333829985,66913.44292832355,479398.57364537084,103955.2785329391,365199.94118081854,238907.63883890683,447352.871550108,254355.94320645445,275256.12515983003,13441700.179842586,193729158.93000564,162093483.30344188,58140096.347496,100513867.20631242,121267130.55643651,92177471.78848608,35613078.34957557,52902916.151366614,5873841.042012912,1189417.9580940672,13618816.303735808,6425334.243491527,16376437.196652314,15716373.551869763,5459073.411492802,4245994.339084538,11032647.921879675,RSN18_IMPVALL.BG_G-ELC000,2.6762206080756776,0.07938769003035362,0.06548921063389507,8.448141793250197e-05,7.172008143240606e-05
259999.8272738181,353719.13720680634,347341.59889279754,83435.81465708645,70334.19651803268,433937.6450864946,179482.70693121874,265022.0552465427,110719.31134528686,13284113.811459444,99636507.19183847,118234019.13702837,153735229.33889905,38030681.59981386,68651602.0420804,16366462.75426899,15626263.92044346,48191976.47640517,5634730.2054500785,20312150.561969463,2247579.443046322,8292676.074802105,3093132.5974647286,7375458.116129684,16467.026513076664,6401986.938345219,5107143.352033773,RSN3475_CHICHI.06_TCU080N,2.475502430296281,6.760843854696964,6.178395661587004,0.0070010161532512005,0.004618860853579339
